id,content,start,end,group
"main-49","1830 Nicolaus Copernicus Monument unveiled. Novemb…","""1829-12-31T22:36:00.000Z""","","war"
"main-50","1831 - September: Battle of Warsaw (1831) . [ 6 ]","""1830-12-31T22:36:00.000Z""","","war"
"main-51","1833 - Grand Theatre opens.","""1832-12-31T22:36:00.000Z""","","culture"
"main-52","1845 - Warsaw-Vienna railway begins operating.","""1844-12-31T22:36:00.000Z""","","other"
"main-53","1857 - Hotel Europejski in business.","""1856-12-31T22:36:00.000Z""","","other"
"main-54","1860 Krasiński Library opens. [ 21 ] Zachęta (art …","""1859-12-31T22:36:00.000Z""","","culture"
"main-55","1862 Szkoła Główna Warszawska (school) [ 22 ] and …","""1861-12-31T22:36:00.000Z""","","culture"
"main-56","1863 - January Uprising . [ 7 ]","""1862-12-31T22:36:00.000Z""","","war"
"main-57","1865 - Alexander Bridge built. [ 7 ]","""1864-12-31T22:36:00.000Z""","","other"
"main-58","1866 - Horsecar tram begins operating.","""1865-12-31T22:36:00.000Z""","","other"
"main-59","1869 - Cathedral of St. Mary Magdalene built in Pr…","""1868-12-31T22:36:00.000Z""","","religion"
"main-60","1872 - Population: 276,000. [ 7 ]","""1871-12-31T22:36:00.000Z""","","other"
"main-61","1875 - Sokrates Starynkiewicz becomes mayor.","""1874-12-31T22:36:00.000Z""","","politics"
"main-62","1878 - Great Synagogue built on Tłomackie Street .…","""1877-12-31T22:36:00.000Z""","","other"
"main-63","1880 - Evangelical Reformed Parish church built.","""1879-12-31T22:36:00.000Z""","","religion"
"main-64","1882 - Population: 406,261. [ 24 ]","""1881-12-31T22:36:00.000Z""","","other"
"main-65","1887 - Population: 436,750. [ 7 ]","""1886-12-31T22:36:00.000Z""","","other"
"main-66","1897 - Population : 624,189.","""1896-12-31T22:36:00.000Z""","","other"
"main-67","1898 University of Technology opens. 24 December: …","""1897-12-31T22:36:00.000Z""","","science"
"main-68","1901 Warsaw Philharmonic founded. Hotel Bristol in…","""1900-12-31T22:36:00.000Z""","","other"
"main-69","1905 - Unrest. See also Alfonse Pogrom . [ 7 ]","""1904-12-31T22:36:00.000Z""","","other"
"main-70","1906 - Yidishes tageblat newspaper begins publicat…","""1905-12-31T22:36:00.000Z""","","other"
"main-71","1907 - Electric streetlights installed. [ 25 ]","""1906-12-31T22:36:00.000Z""","","other"
"main-72","1908 Electric streetcar begins operating. [ 25 ] I…","""1907-12-31T22:36:00.000Z""","","other"
"main-73","1911 - Polonia Warsaw football club (future multi-…","""1910-12-31T22:36:00.000Z""","","sports"
"main-74","1913 Hotel Polonia Palace in business. Aleksander …","""1912-12-31T22:36:00.000Z""","","culture"
"main-75","1914 - Poniatowski Bridge built.","""1913-12-31T22:36:00.000Z""","","other"
"main-76","1916 Wola becomes part of city. National Museum ac…","""1915-12-31T23:00:00.000Z""","","culture"
"main-77","1917 - Office for the Regulation and Building of t…","""1916-12-31T23:00:00.000Z""","","other"
"main-78","1919 - 4-5 January: 1919 Polish coup attempt .","""1918-12-31T22:00:00.000Z""","","other"
"main-79","1920 - August: Battle of Warsaw (1920) .","""1919-12-31T22:00:00.000Z""","","war"
"main-80","1921 KS Warszawianka football club (future multi-s…","""1920-12-31T22:00:00.000Z""","","sports"
"main-81","1922 - 17 March: Warsaw Accord signed.","""1921-12-31T22:00:00.000Z""","","other"
"main-82","1924 - Blok (magazine) [ pl ] begins publication. …","""1923-12-31T23:00:00.000Z""","","other"
"main-83","1925 - Tomb of the Unknown Soldier, Warsaw establi…","""1924-12-31T23:00:00.000Z""","","other"
"main-84","1926 12-14 May: May Coup (Poland) . [ 29 ] 14 Nove…","""1925-12-31T23:00:00.000Z""","","other"
"main-85","1927 AZS Warsaw wins its first Polish ice hockey c…","""1926-12-31T23:00:00.000Z""","","sports"
"main-86","1928 - Arsenal Synagogue [ pl ] opens.","""1927-12-31T23:00:00.000Z""","","other"
"main-87","1929 12 October: Warsaw Convention signed. AZS War…","""1928-12-31T23:00:00.000Z""","","sports"
"main-88","1930 Instytut Propagandy Sztuki [ pl ] (art entity…","""1929-12-31T23:00:00.000Z""","","sports"
"main-89","1931 - Warsaw Railway Museum established.","""1930-12-31T23:00:00.000Z""","","culture"
"main-90","1933 Legia Warsaw wins its first Polish ice hockey…","""1932-12-31T23:00:00.000Z""","","sports"
"main-91","1934 Polonia Warsaw wins its first Polish women's …","""1933-12-31T23:00:00.000Z""","","sports"
"main-92","1935 August: Warsaw hosts the 6th Chess Olympiad .…","""1934-12-31T23:00:00.000Z""","","science"
"main-93","1936 - Museum of Warsaw established.","""1935-12-31T23:00:00.000Z""","","culture"
"main-94","1937 - Polonia Warsaw wins its first Polish men's …","""1936-12-31T23:00:00.000Z""","","sports"
"main-95","1938 Kino Femina [ pl ] (cinema) opens. Coat of ar…","""1937-12-31T23:00:00.000Z""","","other"
"main-96","1939 1 September: Bombing of Warsaw in World War I…","""1938-12-31T23:00:00.000Z""","","war"
"main-97","1940 Spring-summer: Second wave of mass arrests, r…","""1939-12-31T23:00:00.000Z""","","other"
"main-98","1941 - Another wave of mass arrests, deportations …","""1940-12-31T22:00:00.000Z""","","other"
"main-99","1942 July: German Grossaktion Warsaw (1942) begins…","""1941-12-31T22:00:00.000Z""","","other"
"main-100","1943 - April-May: Warsaw Ghetto Uprising .","""1942-12-31T23:00:00.000Z""","","war"
"main-101","1944 Subcamp of the Oflag 73 prisoner-of-war camp …","""1943-12-31T23:00:00.000Z""","","war"
"main-102","1945 January: Soviet forces take city; German occu…","""1944-12-31T23:00:00.000Z""","","war"
"main-103","1946 Polonia Warsaw wins its first Polish football…","""1945-12-31T23:00:00.000Z""","","sports"
"main-104","1947 - AZS Warsaw wins its first Polish men's bask…","""1946-12-31T23:00:00.000Z""","","sports"
"main-105","1948 Stefan Wyszyński becomes Catholic archbishop.…","""1947-12-31T23:00:00.000Z""","","sports"
"main-106","1949 - Six-Year Plan for the Reconstruction of War…","""1948-12-31T23:00:00.000Z""","","other"
"main-107","1950 - Adam Mickiewicz Museum of Literature establ…","""1949-12-31T23:00:00.000Z""","","culture"
"main-108","1951 - Białołęka , Okęcie , Wilanów , and Włochy b…","""1950-12-31T23:00:00.000Z""","","other"
"main-109","1952 - 22 July: Constitution Square inaugurated. […","""1951-12-31T23:00:00.000Z""","","politics"
"main-110","1953 - Old Town Market Place restored. [ 39 ]","""1952-12-31T23:00:00.000Z""","","other"
"main-111","1954 - Fryderyk Chopin Museum established.","""1953-12-31T23:00:00.000Z""","","culture"
"main-112","1955 10th-Anniversary Stadium opens. Crooked Circl…","""1954-12-31T23:00:00.000Z""","","war"
"main-113","1956 Legia Warsaw wins its first Polish men's bask…","""1955-12-31T23:00:00.000Z""","","science"
"main-114","1957 - AZS Warsaw wins its first Polish rugby cham…","""1956-12-31T23:00:00.000Z""","","sports"
"main-115","1959 Polonia Warsaw wins its first Polish men's ba…","""1958-12-31T23:00:00.000Z""","","sports"
"main-116","1961 Warsaw Chamber Opera founded. Legia Warsaw wi…","""1960-12-31T23:00:00.000Z""","","sports"
"main-117","1962 - Legia Warsaw wins its first Polish men's vo…","""1961-12-31T23:00:00.000Z""","","sports"
"main-118","1963 - St. John's Cathedral rebuilt.","""1962-12-31T23:00:00.000Z""","","religion"
"main-119","1964 20 July: Monument to the Heroes of Warsaw unv…","""1963-12-31T23:00:00.000Z""","","sports"
"main-120","1965 September: City co-hosts the 1965 FIVB Volley…","""1964-12-31T23:00:00.000Z""","","other"
"main-121","1966 - Foksal Gallery of art opens. [ 41 ]","""1965-12-31T23:00:00.000Z""","","culture"
"main-122","1967 Maria Skłodowska-Curie Museum opened. Jerzy M…","""1966-12-31T23:00:00.000Z""","","culture"
"main-123","1973 - Nusantara Archipelago Museum established.","""1972-12-31T23:00:00.000Z""","","culture"
"main-124","1974 Łazienkowski Bridge opens. Hotel Forum [ pl ]…","""1973-12-31T23:00:00.000Z""","","other"
"main-125","1975 Warszawa Centralna railway station opens. Int…","""1974-12-31T23:00:00.000Z""","","other"
"main-126","1978 Museum of Caricature established. Intraco II …","""1977-12-31T23:00:00.000Z""","","culture"
"main-127","1979 15 February: 1979 Warsaw gas explosion . June…","""1978-12-31T23:00:00.000Z""","","other"
"main-128","1981 - Józef Glemp becomes Catholic archbishop.","""1980-12-31T23:00:00.000Z""","","other"
"main-129","1983 Romuald Traugutt Philharmonic established. [ …","""1982-12-31T23:00:00.000Z""","","other"
"main-130","1985 - Antonina Leśniewska Museum of Pharmacy esta…","""1984-12-31T23:00:00.000Z""","","culture"
"main-131","1987 - Warsaw hosts the 1987 IAAF World Cross Coun…","""1986-12-31T23:00:00.000Z""","","other"
"main-132","1989 4 April: Polish Round Table Agreement signed …","""1988-12-31T23:00:00.000Z""","","war"
"main-133","1991 - Warsaw Stock Exchange reestablished.","""1990-12-31T23:00:00.000Z""","","other"
"main-134","1992 - Public Transport Authority established.","""1991-12-31T23:00:00.000Z""","","other"
"main-135","1993 - Katyń Museum established.","""1992-12-31T23:00:00.000Z""","","culture"
"main-136","1994 City divided into 11 districts: Bemowo , Biał…","""1993-12-31T23:00:00.000Z""","","science"
"main-137","1995 Warsaw Metro begins operating. May: Warsaw ho…","""1994-12-31T23:00:00.000Z""","","other"
"main-138","1996 - Sister city relationship established with S…","""1995-12-31T23:00:00.000Z""","","other"
"main-139","1997 Centrum Handlowe Targówek (shopping centre) o…","""1996-12-31T23:00:00.000Z""","","other"
"main-140","1998 Centrum metro station opens. Warsaw Financial…","""1997-12-31T23:00:00.000Z""","","other"
"main-141","1999 City becomes capital of the Masovian Voivodes…","""1998-12-31T23:00:00.000Z""","","war"
"main-142","2000 - Świętokrzyski Bridge and Cinema City Sadyba…","""1999-12-31T23:00:00.000Z""","","other"
"main-143","2001 Kinoteka (cinema) opens. [ 44 ] Atrium Center…","""2000-12-31T23:00:00.000Z""","","other"
"main-144","2002 Wesoła becomes part of city. Siekierkowski Br…","""2001-12-31T23:00:00.000Z""","","other"
"main-145","2003 March: Warsaw hosts the 2003 World Short Trac…","""2002-12-31T23:00:00.000Z""","","other"
"main-146","2005 29 April: Museum of Modern Art established. 1…","""2004-12-31T23:00:00.000Z""","","science"
"main-147","2006 Janusz Korczak Monument unveiled. Hanna Gronk…","""2005-12-31T23:00:00.000Z""","","politics"
"main-148","2007 January: Warsaw hosts the 2007 European Figur…","""2006-12-31T23:00:00.000Z""","","war"
"main-149","2009 - Warsaw co-hosts the EuroBasket 2009 .","""2008-12-31T23:00:00.000Z""","","other"
"main-150","2010 - 16 November: Tadeusz Kościuszko Monument un…","""2009-12-31T23:00:00.000Z""","","other"
"main-151","2012 National Stadium opens. Warsaw co-hosts the U…","""2011-12-31T23:00:00.000Z""","","other"
"main-152","2013 13 June: Naming of the Skwer Ormiański (Armen…","""2012-12-31T23:00:00.000Z""","","other"
"main-153","2014 14 May: Honorary Consulate of Iceland opened.…","""2013-12-31T23:00:00.000Z""","","other"
"main-154","2015 Warsaw Metro Line 2 begins operating. 27 May:…","""2014-12-31T23:00:00.000Z""","","other"
"main-155","2016 - 8-9 July: 2016 Warsaw summit .","""2015-12-31T23:00:00.000Z""","","other"
"main-156","2017 April: Warsaw hosts the 2017 European Judo Ch…","""2016-12-31T23:00:00.000Z""","","war"
"main-157","2018 - 22 September: Khachkar commemorating Pope J…","""2017-12-31T23:00:00.000Z""","","other"
"main-158","2020 - June: Warsaw hosts the 2020 European Table …","""2019-12-31T23:00:00.000Z""","","other"
"main-159","2021 - April: Warsaw hosts the 2021 European Wrest…","""2020-12-31T23:00:00.000Z""","","other"
"main-160","2022 - September: Varso Tower completed as EU's ta…","""2021-12-31T23:00:00.000Z""","","other"
"main-161","Digital Public Library of America. Items related t…","""1999-12-31T23:00:00.000Z""","","culture"
"main-162","Europeana. Items related to Warsaw , various dates…","""1999-12-31T23:00:00.000Z""","","other"
"main-163","October 1939-February 1940: Mass arrests and execu…","""1999-12-31T23:00:00.000Z""","","war"
"main-164","Timelines of other cities in Masovian Voivodeship …","""1999-12-31T23:00:00.000Z""","","other"
